Primary Source	Primary Source Concept ID	syndrome	RashSyn	HemorrhagicSyn	BotulicSyn	NeuroSyn	ConstitutionalSyn	SensitiveResp	SpecificResp	RespSyn	SensitiveGI	SpecificGI	GISyn	ILISyn	Concept	SubConcept	Relation to Concept	UMLS concept ID	Diagnosis	Syndrome	Physical Finding	Symptom	Sign	Related Disorder	Analog Disease	Bioterrorism Disease	Chest Radiograph	SNOMED	MESH	ICD-9	RadLex	CCC-Complaint	CCC-title	Keywords/RegExps
SyndromeCC		Constitutional	0	0	0	0	1							1	Anorexia	Anorexia	ConceptName	C0003123:Anorexia	0	0	0	1	0	0	0	0	0		Anorexia [C23.888.821.108]					anorexia [\banorexia\b] [C0003123:Anorexia]:::appetite [\bappetite\b] [C0003123:Anorexia]:::eating disorder [\beating\s+disorder\b] [C0003123:Anorexia]:::not eating [\bnot\s+eating\b] [C0003123:Anorexia]:::not feeding [\bnot\s+feeding\b] [C0003123:Anorexia]:::appitite [\bappitite\b] [C0003123:Anorexia]:::poor eating [\bpoor\s+eating\b] [C0003123:Anorexia]:::poor feeding [\bpoor\s+feeding\b] [C0003123:Anorexia]:::apetite (decreased|low|poor|dec|decr|refus) [\b(appetite|apetite)\s+(decreased|decrease|low|poor|dec|decr|refuse|refused)\b] [C0003123:Anorexia]:::
SyndromeCC		Constitutional	0	0	0	0	1							1	Anorexia	FailureToThrive	RelatedConcept	C0015544:Failure to Thrive	0	0	0	0	0	1	0	0	0		Failure to Thrive [C23.550.393.225]					f.t.t [\bf\.t\.t\.] [C0015544:Failure to Thrive]:::failure to thrive [\bfailure\s+to\s+thrive\b] [C0015544:Failure to Thrive]:::ftt [\bftt\b] [C0015544:Failure to Thrive]:::
BN		ILI	0	0	0	0	0							1	Arthralgias	Arthralgias	ConceptName	C0003862	0	0	0	1	0			0	0		Arthralgia [C05.550.091]					"arthralgias, joint pain"
SyndromeCC		Constitutional	0	0	0	0	1							1	BodyAches	BodyAches	ConceptName	C0741585:BODY ACHE 	0	0	0	1	0	0	0	0	0							acheness [\bacheness\b] [C0741585:BODY ACHE]:::achy [\bachy\b] [C0741585:BODY ACHE]:::body ache [\bbody\s*?ache\b] [C0741585:BODY ACHE]:::body aches [\bbody\s*?ache.*?\b] [C0741585:BODY ACHE]:::bodyache [\bbody\s*?ache.*?\b] [C0741585:BODY ACHE]:::bodyaches [\bbody\s*?ache.*?\b] [C0741585:BODY ACHE]:::bosy ache [\bbosy\s*?ache\b] [C0741585:BODY ACHE]:::
SyndromeCC		Constutional	0	0	0	0	1							1	BodyAches	Myalgia	Synonym	C0231528:Myalgia	0	0	0	1	0	0	0	0	0							malgaria [\bmalgaria\b] [C0231528:Myalgia]:::myalgia [\bmyalgia\b] [C0231528:Myalgia]:::myalgias [\bmyalgias\b] [C0231528:Myalgia]:::mylgias [\bmylgias\b] [C0231528:Myalgia]:::muscle ach [\bmuscle\s*?ach.*?\b] [C0231528:Myalgia]:::
CCOntology			0	0	0	0	1							1	BodyAches	GeneralizedMuscleAches	Synonym	C0746669:Generalised muscle aches	0	0	0	1	0			0	0							generalized muscle aches [\bgeneral.*?\s+muscl.*?\s+ache.*?\b] [C0746669:Generalised muscle aches]
SyndromeCC		Respiratory	0	0	0	0	0	1	1	1				1	Bronchiolitis	Bronchiolitis	ConceptName	C0006271:Bronchiolitis	1	0	0	0	0	1	0	0	0		Bronchiolitis [C08.127.446.135]					brochiolitis [\bbron*chi.*?tis\b] [C0006271:Bronchiolitis]:::bronchialitis [\bbron*chi.*?tis\b] [C0006271:Bronchiolitis]:::bronchilitis [\bbron*chi.*?tis\b] [C0006271:Bronchiolitis]:::bronchiolitis [\bbron*chi.*?tis\b] [C0006271:Bronchiolitis]:::broncolitis [\bbronco.*?tis\b] [C0006271:Bronchiolitis]:::bronculitis [\bbroncu.*?tis\b] [C0006271:Bronchiolitis]:::
CCOntology			0	0	0	0	0	1	1	1				1	Bronchiolitis	RespiratorySyncytialVirus	RelatedConcept	C0035236:Respiratory syncytial virus	1	0	0	0	0			0	0		Respiratory Syncytial Viruses [B04.909.777.455.600.670.600.750]					rsv [\brsv\b] [C0035236:Respiratory syncytial virus]:::respiratory syncytial virus [\bresp.*?\s+sync.*?\s+virus\b] [C0035236:Respiratory syncytial virus]:::
John Flu Term		ILI	0	0	0	0	0							1	ChestPain	SubsternalDiscomfortOrBurning	RelatedConcept	C0235710	0	0	0	1	0			0	0							"substernal discomfort or burning, precordial pain"
55 respiratory		Constitutional	0	0	0	0	1							1	Chills	Chills	ConceptName	C0085593:Chills	0	0	1	1	0	0	0	0	0		Chills [C23.888.208]					chills [\bchills\b] [C0085593:Chills]:::chiles [\bchiles\b] [C0085593:Chills]:::rigors [\brigou?rs\b] [C0424790:RIGORS]:::chiles [\bchiles\b] [C0085593:Chills]:::shiver [\bshiver\b] [C0036973:SHIVERS]:::shaking chills [\bshaking\s+chill.*?\b] [C0036973:SHIVERS]:::
